,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE_ORI
66,34.0,66,17.7,33.1,0.19,f,shoreface/delta front,M,,190
67,34.0,67,16.5,59.3,0.25,m,shoreface/delta front,M,,250
68,34.0,68,18.5,24.2,0.16,f,middle to upper (?) shoreface,M,,160
69,34.0,69,18.1,38.4,0.2,f,middle to upper (?) shoreface,M,,200
70,34.0,70,15.9,4.48,0.13,f,middle to upper (?) shoreface,M,,130
71,34.0,71,15.7,3.65,0.14,f,middle to upper (?) shoreface,M,,140
72,34.0,72,16.1,21.6,0.11,vf,middle to upper (?) shoreface,M,,110
73,34.0,73,17.4,29.8,0.09,vf,middle to upper (?) shoreface,M,,90
74,34.0,74,13.5,0.661,0.1,vf,distal lower shoreface,M,,100
75,34.0,75,15.7,0.329,0.07,vf,distal lower shoreface,M,,70
76,34.0,76,6.5,0.0007,0.09,vf,distal lower shoreface,M,,90
77,34.0,77,8.2,0.0073,0.1,vf,distal lower shoreface,M,,100
78,34.0,78,15.9,12.1,0.09,vf,lower shoreface,M,,90
79,34.0,79,12.6,9.81,0.09,vf,lower shoreface,M,,90
80,34.0,80,15.8,10.3,0.08,vf,lower shoreface,M,,80
81,34.0,81,10.1,0.0672,0.08,vf,lower shoreface,M,,80
