,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE.2,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
80,63.0,92.0,9.82,0.598,,vf,Gravity Flow,M,,Sd gy w cons vfgr,,,,
81,63.0,93.0,9.28,0.052,,vf,Gravity Flow,M,,Sd gy w cons vfgr,,,,
82,63.0,94.0,9.07,9.72,,vf,Gravity Flow,M,,Sd gy w cons vfgr,,,,
83,63.0,95.0,2.86,0.001,,vf,Gravity Flow,M,,Sd gy w cons vfgr,,,,
84,63.0,96.0,0.72,0.001,,vf,Gravity Flow,M,,Sd gy w cons vfgr,,,,
85,63.0,98.0,8.19,0.018,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr,,,,
86,63.0,99.0,10.55,0.06,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr,,,,
87,63.0,100.0,9.04,0.034,,vf,Gravity Flow/Shelf,M,,Sd It gy vw cons vfgr,,,,
88,63.0,101.0,14.41,0.173,,vf,Gravity Flow/Shelf,M,,Sd It gy vw cons vfgr,,,,
89,63.0,105.0,1.53,0.001,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
90,63.0,107.0,3,0.001,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr,,,,
91,63.0,108.0,5.66,0.019,,vf,Shelf,M,,Sd gy w cons vfgr,,,,
92,63.0,109.0,6.39,0.026,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
93,63.0,110.0,6.04,0.024,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
94,63.0,111.0,4.79,0.019,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
95,63.0,112.0,4.49,0.025,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
96,63.0,113.0,1.91,0.001,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
97,63.0,114.0,6.16,0.001,,vf,Shelf,M,,Sd gy w cons vf--fgr,,,,
98,63.0,115.0,1.64,0.001,,vf,Shelf,M,,Sd gy w cons vfgr w/thin Sh partings,,,,
99,63.0,116.0,5.37,0.039,,vf,Shelf,M,,Sd gy w cons vfgr w/thin Sh partings,,,,
100,63.0,117.0,3.69,0.001,,vf,Shelf,M,,Sd gy w cons vfgr w/thin Sh partings,,,,
101,63.0,118.0,2.78,0.001,,vf,,M,,Sd gy w cons vfgr w/thin Sh partings,,,,
102,63.0,119.0,3.34,0.001,,vf,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,
103,63.0,120.0,2.83,0.001,,vf,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,
104,63.0,121.0,3.78,0.001,,vf,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,
105,63.0,122.0,6.32,0.001,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
106,63.0,123.0,4,0.001,,vf,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,
107,63.0,124.0,5.37,0.001,,vf,Shelf,M,,Sd It gy vw cons vfgr,,,,
108,63.0,125.0,5.19,0.001,,vf,Shelf,M,,Sd dk gy w cons vfgr vshy lam,,,,
109,63.0,126.0,4.02,0.001,,vf,Shelf,M,,Sd dk gy w cons vfgr vshy lam,,,,
110,63.0,10.0,16.88,289,,vf,Channel,M,,Sd dk gy w cons vfgr vshy lam,,,,
111,63.0,11.0,16.32,240,,vf,Channel,M,,Sd dk gy w cons vfgr vshy lam,,,,
112,63.0,12.0,13.29,97,,vf,Channel,M,,Sd It gy wv cons vfgr,,,,
113,63.0,14.0,14.26,0.576,,vf,Gravity Flow,M,,Sd It gy w cons vfgr,,,,
114,63.0,15.0,14.44,0.507,,vf,Gravity Flow,M,,Sd It gy wv cons vfgr,,,,
115,63.0,30.0,6.58,0.329,,vf,Channel,M,,Sd It gy vw cons vfgr,,,,
116,63.0,31.0,9.91,6.37,,vf,Channel,M,,Sd dk gy w cons vfgr vshy lam,,,,
117,63.0,32.0,14.96,136,,vf,Channel,M,,Sd gy vw cons vfgr shy lam,,,,
118,63.0,33.0,11.64,21.6,,vf,Channel,M,,Sd It gy wv cons vfgr,,,,
119,63.0,41.0,11.4,12.5,,vf,Channel,M,,Sd It gy wv cons vfgr,,,,
120,63.0,46.0,14.79,0.755,,vf,Gravity Flow,M,,Sd It gy wv cons vfgr,,,,
121,63.0,61.0,10.08,0.428,,vf,Gravity Flow,M,,Sd It gy wv cons vfgr,,,,
122,63.0,97.0,8.83,0.023,,vf,Gravity Flow/Shelf,M,,Sd It gy wv cons vfgr,,,,
123,63.0,102.0,16.08,0.392,,vf,Gravity Flow/Shelf,M,,Sd It gy wv cons vfgr,,,,
124,63.0,103.0,15.69,0.36,,vf,Gravity Flow/Shelf,M,,Sd It gy wv cons vfgr,,,,
125,63.0,104.0,13.81,0.143,,vf,Gravity Flow/Shelf,M,,Sd It gy wv cons vfgr,,,,
126,63.0,106.0,11.18,0.054,,vf,Gravity Flow/Shelf,M,,Sd It gy wv cons vfgr,,,,
127,63.0,127.0,12.92,2.77,,vf,Gravity Flow,M,,Sd bm w cons vf--fgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
128,63.0,128.0,12.95,43.8,,vf,Gravity Flow,M,,Sd bm w cons vf--fgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
129,63.0,129.0,10.71,0.066,,vf,Gravity Flow,M,,Sd gy w cons vf--fgr w/Sh clasts,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
130,63.0,130.0,14.38,69.4,,vf,Gravity Flow,M,,Sd It bm w cons vf--fgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
131,63.0,131.0,18.31,2.87,,vf,Gravity Flow,M,,Sd It bm w cons vf--fgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
132,63.0,132.0,11.77,0.337,,f,Gravity Flow,M,,Sd gy--It bm vf--fgr foss,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
133,63.0,133.0,11.2,0.051,,f,Gravity Flow,M,,Sd gy--It bm vf--fgr foss,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
134,63.0,134.0,1.01,0.001,,f,Channel,M,,Sd gy--It bm vf--fgr foss,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
135,63.0,135.0,12.43,5.94,,f,Channel,M,,Sd gy--It bm vf--fgr foss,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
136,63.0,136.0,17.66,133,,f,Channel,M,,Sd It bm--gy w cons vf--fgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
137,63.0,137.0,8.18,0.292,,f,Gravity Flow,M,,Sd bm w cons vf--fg,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
138,63.0,138.0,11.41,0.046,,f,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
139,63.0,139.0,12.23,18.6,,f,Channel,M,,Sd bm w cons vf--tgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
140,63.0,140.0,6.39,0.001,,f,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
141,63.0,141.0,5.63,0.001,,f,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
142,63.0,142.0,7.73,0.001,,f,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
143,63.0,143.0,12.19,0.028,,f,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
144,63.0,144.0,6.16,0.001,,f,Shelf,M,,Sd gy w cons vf--fgr,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
145,63.0,145.0,3.34,0.001,,f,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
146,63.0,146.0,2.83,0.001,,f,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
147,63.0,147.0,3.78,0.001,,f,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
148,63.0,148.0,4,0.001,,f,Shelf,M,,Sd gy w cons vf--fgr bioturb,,,,"added data to duplicate vf--fgr (one row for f, one for vf)"
